,city,reason,gender
2,15,1,0
3,13,0,1
4,13,7,0
5,0,7,0
6,15,6,1
7,15,3,1
8,3,7,1
10,13,7,0
11,5,0,0
12,15,0,1
13,15,0,1
14,13,7,1
15,13,0,1
16,8,7,1
17,0,7,0
18,13,7,1
19,22,7,1
20,1,7,1
22,20,7,1
23,13,7,1
24,22,7,1
25,13,4,0
26,15,3,1
28,13,7,1
29,3,7,1
30,3,7,1
31,3,7,1
32,2,7,0
33,4,7,1
34,17,7,0
35,16,7,1
36,15,7,1
37,13,7,0
38,13,7,1
39,15,6,1
40,22,7,1
41,12,7,1
42,9,7,1
43,3,7,1
45,15,3,1
46,15,1,0
47,15,3,1
48,11,2,1
49,4,2,1
50,13,7,1
51,13,7,1
52,13,7,1
53,15,6,1
54,15,6,1
55,13,7,1
56,13,7,1
57,13,7,0
58,13,7,1
59,13,7,1
60,10,7,1
61,6,7,1
62,13,7,1
64,15,1,0
65,15,3,1
66,15,6,1
67,0,2,0
68,15,3,1
69,15,3,1
70,15,3,1
71,15,3,1
72,15,6,1
73,8,2,1
74,15,3,1
75,7,2,1
76,21,2,1
77,1,2,1
78,15,2,1
79,15,3,1
80,15,6,1
81,8,4,0
82,15,3,1
83,15,3,1
84,15,3,1
85,15,3,1
86,15,3,1
87,14,2,1
88,15,6,1
89,15,3,1
90,15,6,1
91,15,3,1
92,15,3,1
93,15,3,1
94,15,3,1
95,15,3,1
96,15,3,1
97,15,3,1
98,15,6,1
99,15,3,1
100,15,3,1
101,15,3,1
102,15,2,1
103,15,3,1
104,15,3,1
105,13,7,0
106,12,0,1
107,22,7,0
108,13,7,1
109,13,7,0
110,2,0,1
111,13,0,1
112,15,7,1
114,15,8,1
115,6,7,0
116,20,0,1
117,18,8,1
118,14,8,1
119,15,8,1
120,15,8,1
121,18,8,1
122,15,8,1
123,21,8,1
124,21,8,0
125,8,8,1
126,14,8,1
127,18,8,1
128,21,8,0
129,15,8,1
130,15,8,1
131,15,8,0
132,15,2,0
133,15,8,1
134,22,8,1
135,15,8,1
136,15,8,1
137,13,0,0
138,15,8,1
139,14,8,1
140,15,8,1
141,13,8,1
142,15,8,1
143,18,8,1
144,11,8,1
145,21,8,1
146,18,8,1
147,15,8,1
148,15,8,1
149,20,8,1
150,15,8,1
151,21,8,1
152,15,8,1
153,15,8,1
154,22,8,1
155,15,8,1
156,13,0,1
157,15,2,0
158,17,8,1
159,14,8,1
160,15,8,0
161,18,5,1
162,15,8,1
163,19,8,1
164,13,8,1
165,15,8,1
166,15,8,1
167,13,0,1
168,1,8,1
169,15,8,1
170,15,8,1
171,15,4,0
172,15,8,0
173,14,8,1
174,13,8,1
